Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
BNP Paribas Open,2025-03-08 00:00:00,Outdoor,Hard,2nd Round,3,Paolini J.,Jovic I.,Paolini J.,6,157,4518,466,1.2,4.5,7-6 1-6 6-3
BNP Paribas Open,2025-03-08 00:00:00,Outdoor,Hard,2nd Round,3,Avanesyan E.,Vekic D.,Vekic D.,39,22,1410,2056,1.67,2.2,3-6 3-6 
BNP Paribas Open,2025-03-08 00:00:00,Outdoor,Hard,2nd Round,3,Gauff C.,Uchijima M.,Gauff C.,3,52,6333,1081,1.1,7.0,6-4 3-6 7-6
BNP Paribas Open,2025-03-08 00:00:00,Outdoor,Hard,2nd Round,3,Haddad Maia B.,Kartal S.,Kartal S.,17,83,2369,853,1.73,2.1,2-6 1-6 
BNP Paribas Open,2025-03-08 00:00:00,Outdoor,Hard,2nd Round,3,Mertens E.,Birrell K.,Mertens E.,28,76,1756,907,1.33,3.4,6-4 7-5 
BNP Paribas Open,2025-03-08 00:00:00,Outdoor,Hard,2nd Round,3,Kenin S.,Kasatkina D.,Kasatkina D.,47,12,1213,3116,1.8,2.0,6-3 5-7 4-6
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,2nd Round,3,Bencic B.,Anisimova A.,Bencic B.,58,18,1028,2326,1.57,2.38,6-4 6-7 6-1
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,2nd Round,3,Fernandez L.A.,Cristian J.,Cristian J.,27,79,1763,876,1.3,3.5,7-5 6-7 3-6
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,2nd Round,3,Samsonova L.,McNally C.,Samsonova L.,25,491,1945,104,1.3,3.4,7-6 6-4 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,2nd Round,3,Kessler M.,Sabalenka A.,Sabalenka A.,48,1,1210,9076,4.0,1.25,6-7 3-6 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,2nd Round,3,Shnaider D.,Parks A.,Shnaider D.,13,61,2908,995,1.44,2.75,6-1 6-1 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,2nd Round,3,Cirstea S.,Navarro E.,Navarro E.,111,8,680,4009,3.0,1.4,6-3 1-6 6-7
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,3rd Round,3,Swiatek I.,Yastremska D.,Swiatek I.,2,46,7985,1229,1.08,8.0,6-0 6-2 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,3rd Round,3,Dolehide C.,Kostyuk M.,Kostyuk M.,73,24,908,1955,3.4,1.33,3-6 3-6 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,3rd Round,3,Rybakina E.,Boulter K.,Rybakina E.,7,38,4328,1421,1.2,4.5,6-0 7-5 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,3rd Round,3,Siniakova K.,Muchova K.,Muchova K.,59,15,1010,2734,3.2,1.36,5-7 1-6 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,3rd Round,3,Pegula J.,Wang Xin.,Pegula J.,4,42,5251,1323,1.2,4.5,6-2 6-1 
BNP Paribas Open,2025-03-09 00:00:00,Outdoor,Hard,3rd Round,3,Collins D.,Svitolina E.,Svitolina E.,14,23,2823,1980,2.5,1.53,2-6 4-6 
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Andreeva M.,Tauson C.,Andreeva M.,11,21,3720,2069,1.44,2.75,6-3 6-0 
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Sun L.,Zheng Q.,Zheng Q.,49,9,1187,3780,5.0,1.17,4-6 5-7 
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Keys M.,Mertens E.,Keys M.,5,28,4679,1756,1.4,3.0,6-2 6-7 6-4
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Kudermetova P.,Kartal S.,Kartal S.,60,83,1004,853,2.0,1.8,5-7 3-6 
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Gauff C.,Sakkari M.,Gauff C.,3,29,6333,1719,1.25,4.0,7-6 6-2 
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Shnaider D.,Bencic B.,Bencic B.,13,58,2908,1028,2.63,1.5,4-6 4-6 
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Sabalenka A.,Bronzetti L.,Sabalenka A.,1,62,9076,993,1.07,9.0,6-1 6-2 
BNP Paribas Open,2025-03-10 00:00:00,Outdoor,Hard,3rd Round,3,Kasatkina D.,Samsonova L.,Samsonova L.,12,25,3116,1945,1.67,2.2,6-2 3-6 2-6
BNP Paribas Open,2025-03-11 00:00:00,Outdoor,Hard,3rd Round,3,Vekic D.,Navarro E.,Vekic D.,22,8,2056,4009,3.0,1.4,7-6 6-1 
BNP Paribas Open,2025-03-11 00:00:00,Outdoor,Hard,3rd Round,3,Cristian J.,Paolini J.,Paolini J.,79,6,876,4518,3.5,1.3,4-6 6-3 4-6
BNP Paribas Open,2025-03-11 00:00:00,Outdoor,Hard,4th Round,3,Swiatek I.,Muchova K.,Swiatek I.,2,15,7985,2734,1.29,3.75,6-1 6-1 
BNP Paribas Open,2025-03-11 00:00:00,Outdoor,Hard,4th Round,3,Pegula J.,Svitolina E.,Svitolina E.,4,23,5251,1980,1.44,2.75,7-5 1-6 2-6
BNP Paribas Open,2025-03-12 00:00:00,Outdoor,Hard,4th Round,3,Andreeva M.,Rybakina E.,Andreeva M.,11,7,3720,4328,1.91,1.91,6-1 6-2 
BNP Paribas Open,2025-03-12 00:00:00,Outdoor,Hard,4th Round,3,Kostyuk M.,Zheng Q.,Zheng Q.,24,9,1955,3780,2.3,1.62,3-6 2-6 
BNP Paribas Open,2025-03-12 00:00:00,Outdoor,Hard,4th Round,3,Bencic B.,Gauff C.,Bencic B.,58,3,1028,6333,2.0,1.8,3-6 6-3 6-4
BNP Paribas Open,2025-03-12 00:00:00,Outdoor,Hard,4th Round,3,Vekic D.,Keys M.,Keys M.,22,5,2056,4679,3.75,1.29,6-4 6-7 3-6
BNP Paribas Open,2025-03-12 00:00:00,Outdoor,Hard,4th Round,3,Sabalenka A.,Kartal S.,Sabalenka A.,1,83,9076,853,1.06,10.0,6-1 6-2 
BNP Paribas Open,2025-03-12 00:00:00,Outdoor,Hard,4th Round,3,Paolini J.,Samsonova L.,Samsonova L.,6,25,4518,1945,1.91,1.91,0-6 4-6 
BNP Paribas Open,2025-03-13 00:00:00,Outdoor,Hard,Quarterfinals,3,Swiatek I.,Zheng Q.,Swiatek I.,2,9,7985,3780,1.17,5.0,6-3 6-3 
BNP Paribas Open,2025-03-13 00:00:00,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Andreeva M.,Andreeva M.,23,11,1980,3720,3.0,1.4,5-7 3-6 
BNP Paribas Open,2025-03-13 00:00:00,Outdoor,Hard,Quarterfinals,3,Keys M.,Bencic B.,Keys M.,5,58,4679,1028,1.73,2.1,6-1 6-1 
BNP Paribas Open,2025-03-14 00:00:00,Outdoor,Hard,Quarterfinals,3,Samsonova L.,Sabalenka A.,Sabalenka A.,25,1,1945,9076,5.0,1.17,2-6 3-6 
BNP Paribas Open,2025-03-14 00:00:00,Outdoor,Hard,Semifinals,3,Andreeva M.,Swiatek I.,Andreeva M.,11,2,3720,7985,2.63,1.5,7-6 1-6 6-3
BNP Paribas Open,2025-03-15 00:00:00,Outdoor,Hard,Semifinals,3,Keys M.,Sabalenka A.,Sabalenka A.,5,1,4679,9076,2.5,1.53,0-6 1-6 
BNP Paribas Open,2025-03-16 00:00:00,Outdoor,Hard,The Final,3,Andreeva M.,Sabalenka A.,Andreeva M.,11,1,3720,9076,2.5,1.53,2-6 6-4 6-3
